,Age Range,Group1,Group2,P-Value
0,"(18, inf)",normal_bp,elevated,0.10494535455087022
1,"(18, inf)",normal_bp,stage_1,0.1409180746372895
2,"(18, inf)",normal_bp,stage_2,0.06336414283681648
3,"(18, inf)",normal_bp,stage_3,<0.001
4,"(18, inf)",elevated,stage_1,0.1307784758465
5,"(18, inf)",elevated,stage_2,0.12327649662469511
6,"(18, inf)",elevated,stage_3,0.056688572279719386
7,"(18, inf)",stage_1,stage_2,0.11241700468852114
8,"(18, inf)",stage_1,stage_3,0.155778687366528
9,"(18, inf)",stage_2,stage_3,<0.001
